kernel,bandwidth,quantile,accuracy,recall,precision,f1,time
gaussian,6.0,0.0001,0.5040369033403334,0.008130081300813009,0.5,0.016,2.921875
gaussian,5.5,0.01,0.7753461117897616,0.556910569105691,0.38268156424581007,0.45364238410596025,564.59375
gaussian,0.5,0.0001,0.5019903143600936,0.0040650406504065045,0.25,0.008,564.96875
gaussian,0.5,0.01,0.7630665779083227,0.532520325203252,0.3659217877094972,0.4337748344370861,4.46875
gaussian,5.5,0.1,0.9142239821385271,0.9227642276422764,0.06342553785973735,0.11869281045751633,4.0
gaussian,5.5,0.0001,0.5040369033403334,0.008130081300813009,0.5,0.016,1203.0625
gaussian,5.0,0.0001,0.5040369033403334,0.008130081300813009,0.5,0.016,2.921875
gaussian,0.5,0.001,0.5527048419049188,0.10569105691056911,0.7222222222222222,0.1843971631205674,4681.890625
gaussian,5.0,0.001,0.550658252924679,0.1016260162601626,0.6944444444444444,0.1773049645390071,3851.390625
gaussian,0.5,0.1,0.9162705711187669,0.926829268292683,0.06370494551550712,0.11921568627450979,2.203125
gaussian,6.0,0.001,0.5486116639444392,0.0975609756097561,0.6666666666666666,0.1702127659574468,1902.09375
gaussian,6.0,0.01,0.7732995228095219,0.5528455284552846,0.37988826815642457,0.4503311258278146,6286.875
gaussian,5.0,0.1,0.9142239821385271,0.9227642276422764,0.06342553785973735,0.11869281045751633,5.4375
gaussian,5.5,0.001,0.550658252924679,0.1016260162601626,0.6944444444444444,0.1773049645390071,4.46875
gaussian,1.0,0.001,0.5567980198653985,0.11382113821138211,0.7777777777777778,0.19858156028368795,2593.09375
gaussian,5.0,0.01,0.7773927007700016,0.5609756097560976,0.3854748603351955,0.45695364238410596,7105.703125
gaussian,1.0,0.01,0.8408369591574363,0.6869918699186992,0.4720670391061452,0.5596026490066225,9500.078125
gaussian,6.0,0.1,0.9142239821385271,0.9227642276422764,0.06342553785973735,0.11869281045751633,4.515625
gaussian,1.0,0.0001,0.508130081300813,0.016260162601626018,1.0,0.032,6286.875
gaussian,1.0,0.1,0.9101308041780474,0.9146341463414634,0.06286672254819782,0.11764705882352941,2.203125
