nu,accuracy,recall,precision,f1,time
0.0001,0.13299705816416635,0.08130081300813008,0.0006897503103876397,0.0013678954927843514,19.328125
0.001,0.41210510543484724,0.08130081300813008,0.0021841214371519056,0.00425396150164841,35.28125
0.005,0.13457697956270503,0.10975609756097561,0.000902949635475888,0.0017911635929414886,95.453125
0.007,0.10259709659561424,0.056910569105691054,0.0004622903183199049,0.0009171306911234851,124.765625
0.01,0.1460644367276537,0.10569105691056911,0.0008984105044920525,0.001781676146097444,153.71875
0.02,0.18321781023100048,0.2682926829268293,0.0020549224733794136,0.0040786058583611425,242.734375
0.05,0.2535202520004941,0.18292682926829268,0.0018698578908002991,0.0037018756169792696,499.84375
0.1,0.2748640030013131,0.16666666666666666,0.001866436017662858,0.003691531985774096,1969.078125
0.3,0.2596207868381441,0.09349593495934959,0.0011256851996867658,0.002224586517071283,122758.15625
0.5,0.23925783841406223,0.15040650406504066,0.001547081451747784,0.003062660375796706,313964.9375
0.7,0.19716442254461936,0.15040650406504066,0.001375055745503196,0.002725197024379465,944178.734375
0.9,0.17703846804928378,0.3008130081300813,0.0021944782183209274,0.004357170194600642,1010132.28125
