degree,gamma,nu,accuracy,recall,precision,f1,time
1,0.001,0.0001,0.09655764030909865,0.0975609756097561,0.0007460830639144492,0.0014808416116492873,40.625
1,0.01,0.0001,0.13308810409432176,0.08536585365853659,0.0007207825639265488,0.001429495252033627,56.359375
1,0.001,0.001,0.24442446619176378,0.18699186991869918,0.0018505109019229223,0.0036647546207775657,122.890625
1,0.01,0.001,0.3118510689890242,0.08943089430894309,0.0013273802341016048,0.0026159334126040425,134.1875
1,0.001,0.005,0.08396219077553747,0.13821138211382114,0.0009849933368097803,0.001956046484869405,470.8125
1,0.01,0.005,0.13727072667462747,0.11382113821138211,0.0009378349410503751,0.001860341505547804,479.046875
1,0.02,0.0001,0.20500626798614638,0.09349593495934959,0.000945957061775109,0.0018729641693811074,57.8125
1,0.02,0.001,0.14404118112649894,0.15040650406504066,0.0012058401772910964,0.0023924991917232464,133.609375
1,0.001,0.007,0.1184442355115729,0.06910569105691057,0.0005744407650199365,0.0011394101876675603,660.8125
1,0.01,0.007,0.098711974598643,0.15040650406504066,0.001091252285731139,0.0021667837901147807,659.328125
1,0.01,0.01,0.16360621948931928,0.052845528455284556,0.0005038369118672971,0.000998157248157248,902.53125
1,0.001,0.01,0.07480589831221891,0.11382113821138211,0.0008164217401446233,0.001621214753054253,914.046875
1,0.02,0.005,0.08732459932927973,0.13821138211382114,0.0009918609060941101,0.001969587255611876,484.3125
1,0.02,0.007,0.09600495948684867,0.13821138211382114,0.0010100409957815935,0.0020054264480358617,651.59375
1,0.02,0.01,0.1268089087756381,0.2032520325203252,0.0014792899408284023,0.002937202608235916,924.4375
1,0.01,0.02,0.1896524470309419,0.35772357723577236,0.0025243108344568427,0.005013245221750647,1748.65625
1,0.001,0.02,0.2219543077535446,0.4268292682926829,0.0029967463896341117,0.005951706155764652,1775.734375
1,0.03,0.0001,0.10334536603666543,0.1016260162601626,0.0007853978825673086,0.0015587492595941018,62.515625
1,0.03,0.001,0.30499563071038704,0.13008130081300814,0.0017282350399654353,0.003411150197207121,137.625
1,0.02,0.02,0.29291626062011883,0.573170731707317,0.004002157191110102,0.007948811906305493,1767.734375
1,0.03,0.005,0.08421702787652524,0.12195121951219512,0.0008844861135680169,0.0017562346329469615,477.71875
1,0.03,0.007,0.08623628020185661,0.11788617886178862,0.0008623509470992298,0.0017121771217712175,664.828125
1,0.03,0.01,0.0721593898550128,0.13008130081300814,0.000912564877659271,0.001812415043044857,928.03125
1,0.001,0.05,0.2664719930823394,0.524390243902439,0.003647674254206136,0.00724495240234759,4253.140625
1,0.01,0.05,0.21300080980550942,0.4146341463414634,0.0028946024178443724,0.005749070003381805,4262.0
1,0.03,0.02,0.09795649926110966,0.17886178861788618,0.001257933558236606,0.002498296615943675,1760.03125
1,0.02,0.05,0.15135230657315016,0.2682926829268293,0.001919553267603176,0.003811834011955298,4257.046875
1,0.03,0.05,0.2872837659158809,0.5528455284552846,0.0038964015585606234,0.007738264580369843,4354.78125
1,0.001,0.1,0.19062901757323708,0.3699186991869919,0.002583172476439196,0.005130518125951402,8936.109375
1,0.01,0.1,0.07439550535066408,0.13821138211382114,0.0009659639752258651,0.0019185193544746647,8956.71875
1,0.5,0.0001,0.2299936862621299,0.2926829268292683,0.0024270208319288073,0.0048141214228403315,78.609375
1,0.5,0.001,0.35221930173719296,0.17886178861788618,0.0026027802425317953,0.005130896157658446,152.921875
1,0.02,0.1,0.39658143120542066,0.7845528455284553,0.005447822282439947,0.010820508507835058,8582.890625
1,0.5,0.005,0.14243472372821647,0.10569105691056911,0.0008904719501335708,0.0017660643934248063,507.140625
1,0.5,0.007,0.16096131234244251,0.052845528455284556,0.0005001923816852636,0.0009910047263302333,716.96875
1,0.5,0.01,0.12217929185482063,0.14227642276422764,0.0010955645287507433,0.002174385736029572,931.9375
1,0.5,0.02,0.0780714275910345,0.0975609756097561,0.0007168030583597156,0.0014231499051233394,1893.140625
1,0.03,0.1,0.08953921151479383,0.15040650406504066,0.0010706638115631692,0.0021261923916791174,8495.484375
1,0.5,0.05,0.2626676228776919,0.5121951219512195,0.0035796471490667347,0.007109606432501057,4608.46875
1,0.5,0.1,0.27295501233008956,0.4796747967479675,0.003543117943790536,0.0070342771982116244,8712.609375
1,0.02,0.3,0.09226692928156068,0.16666666666666666,0.0011732387111543525,0.0023300750170493294,25652.1875
1,1.0,0.0001,0.13299705816416635,0.08130081300813008,0.0006897503103876397,0.0013678954927843514,81.203125
1,0.001,0.3,0.25147800943400545,0.491869918699187,0.0034309694615362804,0.006814405992171881,26811.796875
1,0.01,0.3,0.1570957492073514,0.3048780487804878,0.0021256093413445187,0.0042217844075429205,26815.8125
1,1.0,0.001,0.41210510543484724,0.08130081300813008,0.0021841214371519056,0.00425396150164841,147.90625
1,1.0,0.005,0.13457697956270503,0.10975609756097561,0.000902949635475888,0.0017911635929414886,515.546875
1,1.0,0.007,0.10259709659561424,0.056910569105691054,0.0004622903183199049,0.0009171306911234851,730.375
1,1.0,0.01,0.1460644367276537,0.10569105691056911,0.0008984105044920525,0.001781676146097444,948.640625
1,1.0,0.02,0.18321781023100048,0.2682926829268293,0.0020549224733794136,0.0040786058583611425,1910.640625
1,0.03,0.3,0.10775914920094615,0.21138211382113822,0.0014670616448018057,0.002913899862710487,25306.8125
1,1.0,0.05,0.2535202520004941,0.18292682926829268,0.0018698578908002991,0.0037018756169792696,5227.765625
1,0.01,0.5,0.19539669032030782,0.3861788617886179,0.0026782441994869046,0.005319595710725984,42726.3125
1,0.02,0.5,0.2310957309066619,0.45934959349593496,0.0031784428442844285,0.006313201854852227,42124.84375
1,2.0,0.0001,0.1974739329554241,0.15040650406504066,0.0013761809119988099,0.002727406752174554,78.546875
1,2.0,0.001,0.34425461291754167,0.12601626016260162,0.0019897304236200257,0.003917603942878807,146.1875
1,2.0,0.005,0.11903614843689236,0.13008130081300814,0.0010083821768450242,0.002001250781738587,494.828125
1,0.001,0.5,0.08907254393309268,0.17479674796747968,0.0012124971802391158,0.0024082889946793616,44680.46875
1,2.0,0.007,0.14746707019686967,0.07723577235772358,0.0006829128028179139,0.001353854923756591,688.4375
1,2.0,0.01,0.14257300831308822,0.13008130081300814,0.0010645021789028974,0.002111723364239285,980.6875
1,2.0,0.02,0.1979605025369331,0.13821138211382114,0.0012871474540980504,0.002550541990172912,1793.515625
1,0.03,0.5,0.23155336252293304,0.45528455284552843,0.003166167241476791,0.0062886019090398655,42156.90625
1,1.0,0.1,0.2748640030013131,0.16666666666666666,0.001866436017662858,0.003691531985774096,35584.671875
1,0.02,0.7,0.39796999601960004,0.7560975609756098,0.005421160011658409,0.010765134853571015,59624.078125
1,0.001,0.7,0.2808891618741736,0.556910569105691,0.0038587201442091034,0.007664335664335665,62319.75
1,0.01,0.7,0.4236446051855004,0.5487804878048781,0.005385781536742998,0.010666877370417193,62408.828125
2,0.001,0.0001,0.19331064047838004,0.21138211382113822,0.001770875902465604,0.0035123269165822355,15.515625
2,0.001,0.001,0.31419870431118496,0.036585365853658534,0.0006200055111600992,0.0012193469719550196,182.578125
