gamma,nu,accuracy,recall,precision,f1,time
0.001,0.0001,0.5771513604275041,0.15447154471544716,0.8636363636363636,0.2620689655172414,38.90625
0.001,0.001,0.6051564480191791,0.21138211382113822,0.5777777777777777,0.30952380952380953,247.5
0.01,0.0001,0.8221015139245371,0.6463414634146342,0.676595744680851,0.661122661122661,904.78125
0.01,0.001,0.8221015139245371,0.6463414634146342,0.676595744680851,0.661122661122661,1010.390625
0.001,0.007,0.8137107621779651,0.6341463414634146,0.3949367088607595,0.4867394695787831,2302.8125
0.001,0.01,0.891375228186722,0.7926829268292683,0.35583941605839414,0.49118387909319894,2875.859375
0.01,0.01,0.9259984169903601,0.8617886178861789,0.37857142857142856,0.5260545905707196,3127.609375
0.02,0.0001,0.877717766766863,0.7601626016260162,0.5267605633802817,0.6222961730449251,816.453125
0.02,0.001,0.8776896294567897,0.7601626016260162,0.5238095238095238,0.6202321724709784,1269.625
0.02,0.007,0.9210544857277498,0.8495934959349594,0.44,0.5797503467406381,1720.78125
0.001,0.02,0.9227270543667733,0.8658536585365854,0.22707889125799574,0.35979729729729726,5275.21875
0.01,0.02,0.9309415475978058,0.8821138211382114,0.23183760683760685,0.36717428087986465,5845.46875
0.02,0.01,0.9278339761450513,0.8658536585365854,0.37043478260869567,0.5188794153471377,1836.359375
0.01,0.05,0.9216479999633986,0.8943089430894309,0.10821446138711265,0.19306713470820536,15355.5625
0.01,0.005,0.875741521061806,0.7560975609756098,0.5314285714285715,0.6241610738255035,17623.53125
0.02,0.02,0.9310963028032081,0.8821138211382114,0.23459459459459459,0.3706233988044406,14840.109375
0.02,0.005,0.8854257884165786,0.7764227642276422,0.4910025706940874,0.6015748031496062,18824.03125
0.02,0.05,0.9217183432385815,0.8943089430894309,0.10848126232741617,0.19349164467897975,16330.53125
0.03,0.0001,0.9080715190944819,0.8252032520325203,0.38666666666666666,0.5265888456549934,3175.703125
0.001,0.005,0.7964732283788791,0.5975609756097561,0.47266881028938906,0.5278276481149011,25798.3125
0.03,0.001,0.9080293131293722,0.8252032520325203,0.38446969696969696,0.524547803617571,2992.5
0.03,0.005,0.9080715190944819,0.8252032520325203,0.38666666666666666,0.5265888456549934,3378.5625
